location,forecast_date,forecast_week,forecast,confidence_lower,confidence_upper
06,2024-11-09,1,109.90227,20.998634,1787.6753
06,2024-11-16,2,23.28471,23.28471,23.28471
06,2024-11-23,3,23.28471,23.28471,23.28471
06,2024-11-30,4,23.28471,23.28471,23.28471
12,2024-11-09,1,136.9744,53.243908,938.0232
12,2024-11-16,2,24.750513,24.750513,24.750513
12,2024-11-23,3,24.750513,24.750513,24.750513
12,2024-11-30,4,24.750513,24.750513,24.750513
48,2024-11-09,1,121.18608,35.288258,2031.7253
48,2024-11-16,2,30.233267,30.233267,30.233267
48,2024-11-23,3,30.233267,30.233267,30.233267
48,2024-11-30,4,30.233267,30.233267,30.233267
US,2024-11-09,1,1009.32056,263.83615,19484.342
US,2024-11-16,2,120.560295,120.560295,120.560295
US,2024-11-23,3,120.560295,120.560295,120.560295
US,2024-11-30,4,120.560295,120.560295,120.560295
